mAP: 0.8974
aeroplane       : 0.9090
bicycle         : 0.9089
bird            : 0.9086
boat            : 0.8893
bottle          : 0.8140
bus             : 0.9081
car             : 0.8999
cat             : 0.9091
chair           : 0.8855
cow             : 0.9082
diningtable     : 0.8974
dog             : 0.9091
horse           : 0.9089
motorbike       : 0.9087
person          : 0.8981
pottedplant     : 0.8628
sheep           : 0.9058
sofa            : 0.8994
train           : 0.9091
tvmonitor       : 0.9077
